group_index,group_name,size,start,end
0,picc,34,0,34
1,fl,37,34,71
2,fl_lip-tight,37,71,108
3,altofl,37,108,145
4,bassfl,37,145,182
5,kbfl,38,182,220
6,ob,41,220,261
7,ci,34,261,295
8,cl-inEs,45,295,340
9,cl-inB,42,340,382
10,cl-inA,42,382,424
11,basscl,44,424,468
12,fg,47,468,515
13,fh_tube-F,86,515,601
14,fh_tube-B,11,601,612
15,basstrb,56,612,668
16,basstrb_mute-straight,56,668,724
17,basstrb_mute-straightMetal,56,724,780
18,basstrb_mute-cup,56,780,836
19,basstrb_mute-harmonNOstem,56,836,892
20,basstrb_mute-harmonStemmed,56,892,948
21,basstrb_mute-bucket,56,948,1004
22,va,40,1004,1044
23,gauss_sigma-002.5%,97,1044,1141
